shoulder_practical_trace   elbow_practical_trace
-4.806        -6.516
-4.896        -6.624
-4.986        -6.714
-5.094        -6.813
-5.229        -6.957
-5.355        -7.101
-5.454        -7.245
-5.553        -7.353
-5.652        -7.47
-5.76        -7.596
-5.868        -7.722
-5.994        -7.884
-6.102        -8.064
-6.21        -8.217
-6.309        -8.316
-6.408        -8.397
-6.498        -8.469
-6.606        -8.577
-6.723        -8.712
-6.849        -8.892
-6.966        -9.072
-7.065        -9.252
-7.155        -9.387
-7.254        -9.504
-7.362        -9.612
-7.47        -9.729
-7.596        -9.9
-7.713        -10.062
-7.812        -10.224
-7.911        -10.359
-8.019        -10.485
-8.127        -10.629
-8.235        -10.773
-8.325        -10.908
-8.424        -11.016
-8.532        -11.124
-8.649        -11.277
-8.775        -11.448
-8.883        -11.592
-8.964        -11.691
-9.054        -11.781
-9.162        -11.916
-9.288        -12.06
-9.396        -12.231
-9.504        -12.384
-9.612        -12.528
-9.72        -12.681
-9.828        -12.816
-9.927        -12.924
-10.026        -13.023
-10.134        -13.14
-10.251        -13.284
-10.359        -13.437
-10.449        -13.572
-10.548        -13.689
-10.656        -13.797
-10.764        -13.932
-10.872        -14.085
-10.989        -14.229
-11.088        -14.373
-11.187        -14.499
-11.277        -14.607
-11.376        -14.724
-11.484        -14.868
-11.601        -15.021
-11.718        -15.165
-11.817        -15.282
-11.916        -15.381
-12.006        -15.498
-12.105        -15.633
-12.213        -15.777
-12.321        -15.912
-12.42        -16.029
-12.51        -16.155
-12.609        -16.281
-12.717        -16.425
-12.843        -16.569
-12.951        -16.704
-13.041        -16.839
-13.131        -16.956
-13.23        -17.1
-13.338        -17.217
-13.446        -17.352
-13.554        -17.469
-13.644        -17.604
-13.734        -17.748
-13.833        -17.892
-13.941        -18.027
-14.049        -18.144
-14.157        -18.252
-14.256        -18.369
-14.355        -18.504
-14.454        -18.639
-14.553        -18.783
-14.652        -18.909
-14.742        -19.044
-14.841        -19.161
-14.94        -19.296
-15.048        -19.413
-15.147        -19.557
-15.255        -19.692
-15.345        -19.8
-15.444        -19.908
-15.534        -20.007
-15.633        -20.133
-15.732        -20.304
-15.831        -20.448
-15.939        -20.565
-16.029        -20.664
-16.11        -20.763
-16.209        -20.889
-16.326        -21.042
-16.443        -21.186
-16.542        -21.312
-16.614        -21.393
-16.713        -21.528
-16.821        -21.672
-16.938        -21.807
-17.028        -21.924
-17.1        -22.005
-17.19        -22.104
-17.28        -22.221
-17.388        -22.365
-17.496        -22.5
-17.595        -22.626
-17.676        -22.752
-17.757        -22.86
-17.856        -22.968
-17.973        -23.085
-18.081        -23.22
-18.153        -23.328
-18.234        -23.445
-18.315        -23.58
-18.414        -23.715
-18.513        -23.85
-18.612        -23.976
-18.72        -24.084
-18.801        -24.192
-18.882        -24.3
-18.972        -24.417
-19.062        -24.624
-19.197        -24.732
-19.269        -24.777
-19.341        -24.84
-19.422        -24.948
-19.53        -25.128
-19.647        -25.317
-19.737        -25.443
-19.809        -25.497
-19.872        -25.56
-19.953        -25.632
-20.061        -25.785
-20.178        -25.974
-20.286        -26.136
-20.376        -26.217
-20.43        -26.28
-20.502        -26.352
-20.583        -26.496
-20.7        -26.649
-20.808        -26.784
-20.889        -26.892
-20.961        -26.973
-21.033        -27.072
-21.141        -27.189
-21.24        -27.324
-21.339        -27.459
-21.411        -27.576
-21.483        -27.657
-21.573        -27.756
-21.663        -27.864
-21.771        -27.981
-21.861        -28.107
-21.942        -28.224
-22.023        -28.314
-22.104        -28.413
-22.176        -28.521
-22.266        -28.629
-22.347        -28.737
-22.419        -28.845
-22.509        -28.98
-22.599        -29.097
-22.707        -29.205
-22.788        -29.304
-22.86        -29.385
-22.923        -29.493
-23.013        -29.601
-23.103        -29.7
-23.193        -29.808
-23.265        -29.907
-23.337        -30.015
-23.418        -30.132
-23.517        -30.249
-23.616        -30.357
-23.688        -30.465
-23.76        -30.573
