interpolation_sholuder   interpolation_elbow
-31.3349        -40.2877
-31.2859        -40.2247
-31.2361        -40.1607
-31.1852        -40.0953
-31.1341        -40.0295
-31.0833        -39.9642
-31.0328        -39.8993
-30.9823        -39.8344
-30.9318        -39.7694
-30.8809        -39.704
-30.8295        -39.638
-30.7775        -39.5711
-30.7246        -39.5031
-30.6707        -39.4338
-30.6165        -39.3641
-30.5627        -39.2949
-30.5092        -39.2261
-30.4557        -39.1573
-30.4021        -39.0884
-30.3482        -39.0191
-30.2938        -38.9491
-30.2387        -38.8784
-30.1829        -38.8065
-30.126        -38.7334
-30.0688        -38.6599
-30.012        -38.5869
-29.9555        -38.5142
-29.899        -38.4415
-29.8424        -38.3688
-29.7855        -38.2956
-29.7281        -38.2219
-29.6701        -38.1473
-29.6113        -38.0717
-29.5515        -37.9948
-29.4914        -37.9175
-29.4317        -37.8407
-29.3722        -37.7642
-29.3128        -37.6878
-29.2532        -37.6113
-29.1934        -37.5344
-29.1331        -37.4569
-29.0722        -37.3786
-29.0105        -37.2992
-28.9478        -37.2186
-28.8848        -37.1377
-28.8223        -37.0572
-28.7599        -36.977
-28.6976        -36.8969
-28.6352        -36.8167
-28.5725        -36.7361
-28.5094        -36.6549
-28.4456        -36.5729
-28.3811        -36.49
-28.3156        -36.4058
-28.2498        -36.3212
-28.1844        -36.2371
-28.1193        -36.1533
-28.0541        -36.0696
-27.9889        -35.9858
-27.9234        -35.9015
-27.8575        -35.8168
-27.791        -35.7312
-27.7237        -35.6447
-27.6554        -35.557
-27.5869        -35.4689
-27.5188        -35.3813
-27.4509        -35.294
-27.383        -35.2067
-27.315        -35.1193
-27.2468        -35.0316
-27.1781        -34.9433
-27.1089        -34.8543
-27.0389        -34.7643
-26.968        -34.6731
-26.8968        -34.5816
-26.826        -34.4905
-26.7554        -34.3998
-26.6848        -34.3091
-26.6142        -34.2182
-26.5432        -34.127
-26.4719        -34.0353
-26.4        -33.9429
-26.3274        -33.8495
-26.2539        -33.755
-26.1801        -33.6601
-26.1067        -33.5658
-26.0335        -33.4716
-25.9603        -33.3775
-25.887        -33.2833
-25.8135        -33.1888
-25.7396        -33.0938
-25.6651        -32.998
-25.5899        -32.9014
-25.5139        -32.8036
-25.4376        -32.7055
-25.3617        -32.6078
-25.2859        -32.5104
-25.2102        -32.4131
-25.1344        -32.3156
-25.0583        -32.2178
-24.9819        -32.1196
-24.9049        -32.0206
-24.8272        -31.9207
-24.7487        -31.8198
-24.67        -31.7186
-24.5916        -31.6177
-24.5134        -31.5172
-24.4352        -31.4166
-24.3569        -31.316
-24.2784        -31.2151
-24.1995        -31.1136
-24.1201        -31.0115
-24.04        -30.9086
-23.9591        -30.8046
-23.878        -30.7003
-23.7972        -30.5964
-23.7166        -30.4928
-23.636        -30.3892
-23.5554        -30.2855
-23.4745        -30.1815
-23.3932        -30.077
-23.3115        -29.9719
-23.2291        -29.866
-23.1459        -29.759
-23.0625        -29.6518
-22.9794        -29.5449
-22.8965        -29.4383
-22.8136        -29.3318
-22.7306        -29.2251
-22.6474        -29.1181
-22.5639        -29.0107
-22.4799        -28.9027
-22.3952        -28.7939
-22.3098        -28.6841
-22.2242        -28.574
-22.1389        -28.4643
-22.0537        -28.3548
-21.9686        -28.2454
-21.8834        -28.1359
-21.798        -28.026
-21.7123        -27.9158
-21.6261        -27.805
-21.5393        -27.6933
-21.4517        -27.5808
-21.364        -27.468
-21.2765        -27.3556
-21.1892        -27.2433
-21.102        -27.1311
-21.0147        -27.0188
-20.9271        -26.9063
-20.8392        -26.7933
-20.7509        -26.6798
-20.6621        -26.5655
-20.5725        -26.4503
-20.4827        -26.3349
-20.3932        -26.2198
-20.3038        -26.1049
-20.2145        -25.9901
-20.1251        -25.8752
-20.0355        -25.76
-19.9456        -25.6444
-19.8553        -25.5283
-19.7644        -25.4114
-19.6729        -25.2938
-19.5812        -25.1758
-19.4897        -25.0582
-19.3984        -24.9408
-19.3071        -24.8234
-19.2157        -24.706
-19.1242        -24.5883
-19.0324        -24.4702
-18.9401        -24.3516
-18.8473        -24.2323
-18.7539        -24.1122
-18.6603        -23.9919
-18.567        -23.8719
-18.4738        -23.752
-18.3806        -23.6322
-18.2874        -23.5124
-18.194        -23.3923
-18.1003        -23.2718
-18.0062        -23.1508
-17.9116        -23.0292
-17.8164        -22.9069
-17.7211        -22.7843
-17.626        -22.662
-17.531        -22.5398
-17.436        -22.4177
-17.341        -22.2956
-17.2458        -22.1732
-17.1503        -22.0504
-17.0545        -21.9272
-16.9582        -21.8034
-16.8614        -21.6789
-16.7643        -21.5542
-16.6675        -21.4297
-16.5709        -21.3054
-16.4742        -21.1811
-16.3775        -21.0568
-16.2806        -20.9322
-16.1835        -20.8073
-16.086        -20.682
-15.9881        -20.5561
-15.8897        -20.4296
-15.7911        -20.3028
-15.6927        -20.1763
-15.5944        -20.0499
-15.4961        -19.9236
-15.3978        -19.7972
-15.2993        -19.6706
-15.2007        -19.5437
-15.1016        -19.4164
-15.0022        -19.2886
-14.9023        -19.1601
-14.8022        -19.0314
-14.7023        -18.9029
-14.6025        -18.7747
-14.5028        -18.6464
-14.4029        -18.5181
-14.303        -18.3896
-14.2028        -18.2608
-14.1024        -18.1316
-14.0015        -18.0019
-13.9002        -17.8717
-13.7987        -17.7412
-13.6974        -17.611
-13.5962        -17.4809
-13.4951        -17.3508
-13.3939        -17.2207
-13.2925        -17.0904
-13.191        -16.9598
-13.0891        -16.8289
-12.987        -16.6975
-12.8844        -16.5656
-12.7816        -16.4335
-12.679        -16.3016
-12.5765        -16.1698
-12.4741        -16.0381
-12.3716        -15.9063
-12.2689        -15.7743
-12.1661        -15.6421
-12.063        -15.5096
-11.9596        -15.3767
-11.8558        -15.2432
-11.7519        -15.1096
-11.6481        -14.9762
-11.5444        -14.8428
-11.4408        -14.7095
-11.337        -14.5762
-11.2332        -14.4427
-11.1292        -14.309
-11.025        -14.175
-10.9205        -14.0406
-10.8156        -13.9058
-10.7106        -13.7708
-10.6057        -13.6359
-10.5009        -13.5012
-10.3962        -13.3665
-10.2913        -13.2317
-10.1864        -13.0969
-10.0814        -12.9618
-9.9761        -12.8264
-9.87056        -12.6907
-9.76469        -12.5546
-9.65871        -12.4183
-9.55286        -12.2822
-9.44707        -12.1462
-9.3413        -12.0102
-9.23549        -11.8742
-9.1296        -11.7381
-9.02357        -11.6017
-8.91735        -11.4652
-8.8109        -11.3283
-8.70415        -11.191
-8.5973        -11.0537
-8.49056        -10.9164
-8.38388        -10.7793
-8.27722        -10.6421
-8.17052        -10.505
-8.06375        -10.3677
-7.95686        -10.2302
-7.8498        -10.0926
-7.74254        -9.95469
-7.63501        -9.81645
-7.5274        -9.67809
-7.41989        -9.53985
-7.31242        -9.40168
-7.20497        -9.26353
-7.09749        -9.12534
-6.98994        -8.98707
-6.8823        -8.84867
-6.77451        -8.71008
-6.66654        -8.57126
